state,state_abbr,listings,avg_price,med_price,avg_ppsf,med_ppsf,avg_house_size,med_house_size,share_ready_to_build,unemp_volatility,unemp_mean,unemp_min,unemp_max,hpi_growth_2010_2023,hpi_yoy_mean,hpi_yoy_vol,median_income_mean,pop_mean,net_migration_mean,net_migration_vol
Alaska,AK,967,491531.0537745605,424900.0,240.21913455715685,223.6315789473684,2204.1540847983456,1858.0,0.0,1.3412229597121317,6.4851190476190474,3.8,11.7,0.455206867876047,0.0344676799687426,0.0327355686573458,74198.57142857143,733746.1428571428,-0.2888888888888898,2.1728117983642994
Alabama,AL,21418,353789.04809039127,279900.0,160.64336672592918,142.31096497626405,2147.71850779718,1897.0,0.0374451396022037,2.6134366205227892,5.747023809523809,2.3,13.8,0.53197974331919,0.040593508994223,0.0511515486468378,49822.142857142855,4910890.285714285,0.2888888888888898,0.6641619615057078
Arkansas,AR,12736,328525.7359453518,250000.0,151.52037990104031,139.22766041410108,2096.5291300251256,1800.0,0.0005496231155778,1.827156982194464,5.157738095238095,2.9,10.1,0.5920166905683528,0.0437461550277579,0.0490948457646924,47484.28571428572,2993732.9285714286,0.6888888888888908,1.2211106056009469
Arizona,AZ,57550,533331.4427801912,420000.0,263.29720047614427,245.0069158920465,1925.1022762814944,1736.0,0.0166290182450043,2.1815591147356965,6.382142857142857,3.6,13.8,0.944092727653298,0.0736029452805604,0.0806265442867684,60031.42857142857,6957014.785714285,0.1999999999999981,0.6708203932499348
California,CA,196580,972748.3127174688,699999.0,520.2072228846615,444.6801085154326,1883.2182114152,1618.0,0.0057381218842201,3.0439015210609717,7.3202380952380945,3.8,16.1,0.8110170858684702,0.0615345862965458,0.0589493628025817,69232.85714285714,38786632.571428575,-0.5555555555555556,0.7859884081701057
Colorado,CO,25092,790682.1150167384,560000.0,344.15359415800907,265.6579873328642,2423.34891598916,2117.0,0.0279371911366172,2.44264161826454,5.094642857142857,2.4,11.7,0.8819023608231848,0.0681038158355385,0.0533845477449569,72710.71428571429,5529370.214285715,0.5111111111111121,0.5487359211051431
Connecticut,CT,12155,632768.193253805,369000.0,263.60279591736446,215.65934065934067,2175.9776223776225,1777.0,0.0003290826820238,2.2496794277855554,6.108928571428571,3.0,11.9,0.421876877302032,0.0300163482442183,0.0533289872377992,75835.0,3591876.8571428573,-0.1777777777777739,1.06510302057803
Delaware,DE,7459,430911.95455154846,365000.0,206.17239525292496,185.36082474226805,2133.7498324172143,1955.0,0.0261429145998123,1.8128379747426264,5.485714285714286,3.5,13.4,0.4588321931185133,0.0344528453673692,0.0515451345095056,64015.71428571428,959116.7857142856,1.2222222222222203,0.8856886837057621
Florida,FL,187614,574969.3845824938,369900.0,298.8029100849979,223.88833100854615,1785.3452087797286,1596.0,0.0139168718752331,2.8279809262422866,6.027976190476191,2.8,14.1,0.9760955015280928,0.0753394580161076,0.0723625212275646,53649.28571428572,20706279.07142857,0.8888888888888921,0.4594682917363408
Georgia,GA,55386,415313.19093272666,334900.0,181.72587966493103,161.18486024235352,2281.7345899685843,2000.0,0.0091178276098653,2.535435702797949,6.111309523809524,3.1,12.5,0.7597602611890162,0.0581415842899942,0.067431271647189,55030.0,10360259.642857144,-0.066666666666666,0.4898979485566385
Iowa,IA,18661,257859.96334601575,219900.0,157.9138621959708,149.5510774142059,1650.8161942018112,1489.0,0.0,1.30359428871683,4.010119047619048,2.5,11.0,0.5423951182072573,0.0398144781022617,0.0344902096657953,63376.42857142857,3137070.1428571427,0.4000000000000009,0.8062257748298568
Idaho,ID,12547,662255.9372758429,521280.0,299.7432415143164,267.81329423264907,2209.1537419303418,2010.0,0.0133099545708137,2.2759123953377,4.868452380952381,2.7,11.8,0.9499680354713522,0.0744135828372274,0.0818266622589615,59062.857142857145,1733028.2857142857,1.2888888888888868,0.7623064417352834
Illinois,IL,64803,359507.55278305017,267000.0,180.48328109600945,161.64430684554523,1925.4611051957472,1615.0,0.0036726694751786,2.5045888167813644,6.794642857142857,3.6,18.3,0.4142720471753138,0.0302554276890898,0.0424734938442568,65265.0,12784923.214285716,-2.1333333333333337,0.6324555320336746
Indiana,IN,13264,325896.0308353438,270000.0,145.65465908214864,136.2945119396732,2233.6843335343788,1904.0,0.0334740651387213,2.5546345501129397,5.558333333333333,2.9,16.9,0.6704134828522017,0.0492677506032468,0.046378684476527,57973.57142857143,6670383.357142857,0.4000000000000009,0.5196152422706645
Kansas,KS,12147,289098.2212892072,215000.0,129.09032874896377,115.12268402603904,2110.5333827282457,1863.0,0.0,1.5078635011766757,4.425595238095238,2.5,12.1,0.6105946174887462,0.0449392003483701,0.0412166203782958,61147.142857142855,2909674.0714285714,-0.1999999999999981,0.6403124237432846
Kentucky,KY,18106,297845.997680327,238433.0,147.3586478707935,139.28402805881558,1999.925218159726,1717.0,0.0442947089362642,2.2904707069312096,6.059523809523809,4.0,16.7,0.604143767833742,0.0446896228637658,0.042606357252529,49115.0,4448458.071428572,-0.1555555555555562,0.5637178175095924
Louisiana,LA,17182,320264.4383075311,250000.0,149.83448862215192,137.39748547847677,2064.7010825282273,1842.0,0.0094866720987079,1.5934259547176806,5.905952380952381,3.5,13.5,0.3923344774136224,0.0301824167088978,0.0289304194838432,47545.0,4628693.285714285,-0.5555555555555524,0.8705043238133716
Massachusetts,MA,35652,719045.2603500505,525000.0,379.2835385004161,305.87174414913727,1998.7770391562883,1702.0,0.0011500056097834,2.2954523388598584,5.3827380952380945,3.0,17.8,0.6601321920862251,0.0487993462572582,0.0411623423281895,77031.42857142857,6834141.714285715,-1.5555555555555556,1.052510226923129
Maryland,MD,41007,470483.28675591975,385000.0,221.95604956753436,204.6654929577465,2142.620455044261,1840.0,0.0161435852415441,1.778772592583926,5.116666666666667,1.9,9.0,0.4308733088136707,0.0327237185878099,0.0402153759162902,83142.14285714286,6020738.285714285,-0.444444444444446,0.7401201103724827
Maine,ME,2523,499351.08006341656,334900.0,262.59358960549014,198.68827160493828,2021.099088386841,1665.0,0.0,1.987543813506347,4.894642857142857,2.4,9.5,0.7035704836467076,0.0529081888467588,0.058848387033555,58523.57142857143,1347223.5714285714,1.4444444444444444,2.016873267654113
Michigan,MI,27467,323511.20358976227,234900.0,166.31159462490012,146.13309352517985,1840.1262241963084,1587.0,0.0564313539884224,3.216356594560127,6.7839285714285715,3.7,22.7,0.7532970882720225,0.0563908006268075,0.0435415800477897,58632.857142857145,9970821.0,-0.9555555555555548,0.773160900316213
Minnesota,MN,35800,397081.0931284916,330000.0,176.76291002919805,164.47368421052633,2290.7893296089387,2064.0,0.0135474860335195,1.6252060034806788,4.395238095238095,2.3,11.1,0.577922246547125,0.0441111091977093,0.0423258896007092,71828.57142857143,5545283.214285715,0.62222222222222,0.8800252521629405
Missouri,MO,33829,304517.7050755269,239900.0,151.06528799559126,141.87866927592955,1972.7072925596383,1662.0,0.0039019775931892,2.1874173575981417,5.289285714285715,2.3,11.6,0.6082358450303991,0.0454287824414997,0.0472938257974125,58067.142857142855,6099544.642857143,0.3999999999999993,0.5656854249492398
