state,state_abbr,listings,avg_price,med_price,avg_ppsf,med_ppsf,avg_house_size,med_house_size,share_ready_to_build,unemp_volatility,unemp_mean,unemp_min,unemp_max,hpi_growth_2010_2023,hpi_yoy_mean,hpi_yoy_vol,median_income_mean,pop_mean
Alaska,AK,967,491531.0537745605,424900.0,240.21913455715685,223.6315789473684,2204.1540847983456,1858.0,0.0,1.3412229597121315,6.4851190476190474,3.8,11.7,0.455206867876047,0.03446767996874262,0.03273556865734581,74198.57142857143,733746.1428571428
Alabama,AL,21418,353789.04809039127,279900.0,160.64336672592918,142.31096497626405,2147.71850779718,1897.0,0.037445139602203754,2.6134366205227892,5.747023809523809,2.3,13.8,0.53197974331919,0.040593508994223024,0.05115154864683784,49822.142857142855,4910890.285714285
Arkansas,AR,12736,328525.7359453518,250000.0,151.52037990104031,139.22766041410108,2096.5291300251256,1800.0,0.0005496231155778894,1.8271569821944638,5.157738095238095,2.9,10.1,0.5920166905683528,0.04374615502775791,0.049094845764692495,47484.28571428572,2993732.9285714286
Arizona,AZ,57550,533331.4427801912,420000.0,263.29720047614427,245.00691589204646,1925.1022762814944,1736.0,0.016629018245004346,2.1815591147356965,6.382142857142857,3.6,13.8,0.944092727653298,0.07360294528056045,0.08062654428676842,60031.42857142857,6957014.785714285
California,CA,196580,972748.3127174687,699999.0,520.2072228846615,444.6801085154326,1883.2182114152,1618.0,0.005738121884220165,3.0439015210609717,7.3202380952380945,3.8,16.1,0.8110170858684702,0.06153458629654585,0.05894936280258173,69232.85714285714,38786632.571428575
Colorado,CO,25092,790682.1150167384,560000.0,344.15359415800907,265.6579873328642,2423.34891598916,2117.0,0.02793719113661725,2.44264161826454,5.094642857142857,2.4,11.7,0.8819023608231848,0.06810381583553855,0.05338454774495699,72710.71428571429,5529370.214285715
Connecticut,CT,12155,632768.193253805,369000.0,263.60279591736446,215.65934065934067,2175.9776223776225,1777.0,0.00032908268202385847,2.2496794277855554,6.108928571428571,3.0,11.9,0.42187687730203205,0.030016348244218394,0.05332898723779928,75835.0,3591876.8571428573
Delaware,DE,7459,430911.95455154846,365000.0,206.17239525292496,185.36082474226805,2133.7498324172143,1955.0,0.026142914599812307,1.8128379747426262,5.485714285714286,3.5,13.4,0.4588321931185133,0.034452845367369284,0.05154513450950566,64015.71428571428,959116.7857142857
Florida,FL,187614,574969.3845824938,369900.0,298.8029100849979,223.88833100854617,1785.3452087797286,1596.0,0.013916871875233192,2.8279809262422866,6.027976190476191,2.8,14.1,0.9760955015280928,0.07533945801610765,0.07236252122756466,53649.28571428572,20706279.07142857
Georgia,GA,55386,415313.19093272666,334900.0,181.72587966493103,161.18486024235352,2281.7345899685843,2000.0,0.00911782760986531,2.535435702797949,6.111309523809524,3.1,12.5,0.7597602611890162,0.05814158428999423,0.06743127164718904,55030.0,10360259.642857144
Hawaii,HI,5358,1156447.5110115714,775000.0,779.2109827830103,631.0778117513555,1509.6952220977978,1184.5,0.0,3.129778923604009,4.6797619047619055,2.0,22.5,0.5158745710204782,0.04766736073411117,0.056747254684717356,74290.71428571429,1418522.357142857
Iowa,IA,18661,257859.96334601575,219900.0,157.9138621959708,149.5510774142059,1650.8161942018112,1489.0,0.0,1.3035942887168301,4.010119047619048,2.5,11.0,0.5423951182072573,0.03981447810226176,0.03449020966579531,63376.42857142857,3137070.1428571427
Idaho,ID,12547,662255.9372758429,521280.0,299.7432415143164,267.81329423264907,2209.1537419303418,2010.0,0.01330995457081374,2.2759123953377,4.868452380952381,2.7,11.8,0.9499680354713522,0.07441358283722742,0.08182666225896155,59062.857142857145,1733028.2857142857
Illinois,IL,64803,359507.55278305017,267000.0,180.48328109600945,161.64430684554523,1925.4611051957472,1615.0,0.003672669475178618,2.5045888167813644,6.794642857142857,3.6,18.3,0.41427204717531385,0.030255427689089842,0.04247349384425684,65265.0,12784923.214285715
Indiana,IN,13264,325896.0308353438,270000.0,145.65465908214864,136.2945119396732,2233.6843335343788,1904.0,0.03347406513872135,2.5546345501129397,5.558333333333333,2.9,16.9,0.6704134828522017,0.049267750603246875,0.046378684476527016,57973.57142857143,6670383.357142857
