year,state,state_abbr,growth_rank,in_migration_pct,out_migration_pct,leading_cities,net_migration_pct
2016,South Carolina,SC,22.0,50.1,49.9,None,0.20000000000000284
2016,South Dakota,SD,18.0,50.7,49.3,None,1.4000000000000057
2016,Tennessee,TN,12.0,50.3,49.7,None,0.5999999999999943
2016,Texas,TX,1.0,50.8,49.2,"#2 Austin, #19 McKinney, #24 Lubbock",1.5999999999999943
2016,Utah,UT,38.0,49.7,50.3,#21 St. George,-0.5999999999999943
2016,Vermont,VT,9.0,53.0,47.0,None,6.0
2016,Virginia,VA,30.0,50.0,50.0,None,0.0
2016,Washington,WA,16.0,50.1,49.9,"#8 Olympia, #13 Tacoma",0.20000000000000284
2016,West Virginia,WV,25.0,50.1,49.9,None,0.20000000000000284
2016,Wisconsin,WI,4.0,50.6,49.4,#1 Madison,1.2000000000000028
2016,Wyoming,WY,26.0,50.0,50.0,None,0.0
2017,Alabama,AL,11.0,50.3,49.7,None,0.5999999999999943
2017,Alaska,AK,36.0,48.2,51.8,None,-3.5999999999999943
2017,Arizona,AZ,43.0,49.7,50.3,"#1 Tempe, #14 Surprise",-0.5999999999999943
2017,Arkansas,AR,3.0,50.9,49.1,None,1.7999999999999972
2017,California,CA,50.0,49.6,50.4,"#6 Sacramento, #13 Redding, #17 San Francisco, #23 Murrieta",-0.7999999999999972
2017,Colorado,CO,11.0,50.3,49.7,None,0.5999999999999943
2017,Connecticut,CT,8.0,50.6,49.4,None,1.2000000000000028
2017,Delaware,DE,18.0,50.5,49.5,None,1.0
2017,Florida,FL,2.0,50.2,49.8,"#4 Miami, #15 Kissimmee, #19 Brandon, #22 St. Cloud",0.4000000000000057
2017,Georgia,GA,41.0,49.9,50.1,#3 Atlanta,-0.20000000000000284
2017,Hawaii,HI,,,,Recent Migration Trends,
2017,Idaho,ID,14.0,50.5,49.5,#2 Boise,1.0
2017,Illinois,IL,49.0,48.6,51.4,None,-2.799999999999997
2017,Indiana,IN,17.0,50.1,49.9,None,0.20000000000000284
2017,Iowa,IA,12.0,50.6,49.4,None,1.2000000000000028
2017,Kansas,KS,38.0,49.7,50.3,None,-0.5999999999999943
2017,Kentucky,KY,29.0,50.0,50.0,None,0.0
2017,Louisiana,LA,40.0,49.7,50.3,None,-0.5999999999999943
2017,Maine,ME,26.0,50.0,50.0,None,0.0
2017,Maryland,MD,42.0,49.7,50.3,None,-0.5999999999999943
2017,Massachusetts,MA,46.0,49.1,50.9,None,-1.7999999999999972
2017,Michigan,MI,47.0,49.1,50.9,None,-1.7999999999999972
2017,Minnesota,MN,35.0,49.8,50.2,None,-0.4000000000000057
2017,Mississippi,MS,23.0,50.2,49.8,None,0.4000000000000057
2017,Missouri,MO,30.0,50.0,50.0,None,0.0
2017,Montana,MT,25.0,50.2,49.8,None,0.4000000000000057
2017,Nebraska,NE,16.0,50.4,49.6,None,0.7999999999999972
2017,Nevada,NV,33.0,49.9,50.1,None,-0.20000000000000284
2017,New Hampshire,NH,31.0,49.9,50.1,None,-0.20000000000000284
2017,New Jersey,NJ,45.0,49.3,50.7,#10 Jersey City,-1.4000000000000057
2017,New Mexico,NM,19.0,50.3,49.7,None,0.5999999999999943
2017,New York,NY,44.0,49.7,50.3,"#16 Yonkers, #18 Brooklyn, #21 Manhattan",-0.5999999999999943
2017,North Carolina,NC,7.0,50.2,49.8,#12 Durham,0.4000000000000057
