year,state,state_abbr,growth_rank,in_migration_pct,out_migration_pct,net_migration_pct
2021,Georgia,GA,23.0,50.0,50.0,0.0
2022,Georgia,GA,8.0,50.2,49.8,0.4000000000000057
2023,Georgia,GA,18.0,50.1,49.9,0.2000000000000028
2015,Iowa,IA,29.0,50.2,49.8,0.4000000000000057
2016,Iowa,IA,13.0,50.6,49.4,1.2000000000000028
2017,Iowa,IA,12.0,50.6,49.4,1.2000000000000028
2018,Iowa,IA,41.0,49.4,50.6,-1.2000000000000028
2019,Iowa,IA,30.0,50.0,50.0,0.0
2020,Iowa,IA,24.0,50.6,49.4,1.2000000000000028
2021,Iowa,IA,27.0,49.9,50.1,-0.2000000000000028
2022,Iowa,IA,21.0,50.4,49.6,0.7999999999999972
2023,Iowa,IA,24.0,50.1,49.9,0.2000000000000028
2015,Idaho,ID,21.0,50.8,49.2,1.5999999999999943
2016,Idaho,ID,7.0,51.0,49.0,2.0
2017,Idaho,ID,14.0,50.5,49.5,1.0
2018,Idaho,ID,5.0,50.9,49.1,1.7999999999999972
2019,Idaho,ID,11.0,50.1,49.9,0.2000000000000028
2020,Idaho,ID,30.0,50.3,49.7,0.5999999999999943
2021,Idaho,ID,9.0,50.5,49.5,1.0
2022,Idaho,ID,10.0,50.4,49.6,0.7999999999999972
2023,Idaho,ID,6.0,51.3,48.7,2.5999999999999943
2015,Illinois,IL,50.0,49.3,50.7,-1.4000000000000057
2016,Illinois,IL,50.0,48.8,51.2,-2.4000000000000057
2017,Illinois,IL,49.0,48.6,51.4,-2.799999999999997
2018,Illinois,IL,50.0,48.5,51.5,-3.0
2019,Illinois,IL,50.0,48.6,51.4,-2.799999999999997
2020,Illinois,IL,49.0,49.1,50.9,-1.7999999999999972
2021,Illinois,IL,49.0,49.2,50.8,-1.5999999999999943
2022,Illinois,IL,49.0,49.3,50.7,-1.4000000000000057
2023,Illinois,IL,48.0,49.0,51.0,-2.0
2015,Indiana,IN,25.0,50.2,49.8,0.4000000000000057
2016,Indiana,IN,39.0,49.8,50.2,-0.4000000000000057
2017,Indiana,IN,17.0,50.1,49.9,0.2000000000000028
2018,Indiana,IN,26.0,50.0,50.0,0.0
2019,Indiana,IN,9.0,50.2,49.8,0.4000000000000057
2020,Indiana,IN,12.0,50.5,49.5,1.0
2021,Indiana,IN,6.0,50.6,49.4,1.2000000000000028
2022,Indiana,IN,14.0,50.4,49.6,0.7999999999999972
2023,Indiana,IN,27.0,50.0,50.0,0.0
2015,Kansas,KS,43.0,49.6,50.4,-0.7999999999999972
2016,Kansas,KS,20.0,50.2,49.8,0.4000000000000057
2017,Kansas,KS,38.0,49.7,50.3,-0.5999999999999943
2018,Kansas,KS,32.0,50.0,50.0,0.0
2019,Kansas,KS,18.0,50.2,49.8,0.4000000000000057
2020,Kansas,KS,21.0,50.4,49.6,0.7999999999999972
2021,Kansas,KS,40.0,49.6,50.4,-0.7999999999999972
2022,Kansas,KS,39.0,49.5,50.5,-1.0
2023,Kansas,KS,33.0,49.9,50.1,-0.2000000000000028
2015,Kentucky,KY,30.0,50.1,49.9,0.2000000000000028
2016,Kentucky,KY,31.0,49.9,50.1,-0.2000000000000028
2017,Kentucky,KY,29.0,50.0,50.0,0.0
2018,Kentucky,KY,45.0,49.4,50.6,-1.2000000000000028
2019,Kentucky,KY,37.0,49.8,50.2,-0.4000000000000057
2020,Kentucky,KY,18.0,50.4,49.6,0.7999999999999972
2021,Kentucky,KY,38.0,49.7,50.3,-0.5999999999999943
2022,Kentucky,KY,26.0,50.1,49.9,0.2000000000000028
2023,Kentucky,KY,29.0,49.9,50.1,-0.2000000000000028
2015,Louisiana,LA,35.0,50.0,50.0,0.0
2016,Louisiana,LA,8.0,50.6,49.4,1.2000000000000028
2017,Louisiana,LA,40.0,49.7,50.3,-0.5999999999999943
2018,Louisiana,LA,47.0,49.2,50.8,-1.5999999999999943
2019,Louisiana,LA,40.0,49.6,50.4,-0.7999999999999972
2020,Louisiana,LA,44.0,49.6,50.4,-0.7999999999999972
2021,Louisiana,LA,43.0,49.6,50.4,-0.7999999999999972
2022,Louisiana,LA,35.0,50.0,50.0,0.0
